gene,DPP4,local
ENA|JX869059|JX869059.2,sp|P27487|DPP4_HUMAN,45
ENA|JX869059|JX869059.2,sp|P28843|DPP4_MOUSE,47
ENA|KC164505|KC164505.2,sp|P27487|DPP4_HUMAN,47
ENA|KC164505|KC164505.2,sp|P28843|DPP4_MOUSE,44
ENA|KC667074|KC667074.1,sp|P27487|DPP4_HUMAN,47
ENA|KC667074|KC667074.1,sp|P28843|DPP4_MOUSE,44
ENA|KC776174|KC776174.1,sp|P27487|DPP4_HUMAN,45
ENA|KC776174|KC776174.1,sp|P28843|DPP4_MOUSE,47
ENA|KF186564|KF186564.1,sp|P27487|DPP4_HUMAN,45
ENA|KF186564|KF186564.1,sp|P28843|DPP4_MOUSE,44
ENA|KF186565|KF186565.1,sp|P27487|DPP4_HUMAN,45
ENA|KF186565|KF186565.1,sp|P28843|DPP4_MOUSE,44
ENA|KF186566|KF186566.1,sp|P27487|DPP4_HUMAN,45
ENA|KF186566|KF186566.1,sp|P28843|DPP4_MOUSE,44
ENA|KF186567|KF186567.1,sp|P27487|DPP4_HUMAN,45
ENA|KF186567|KF186567.1,sp|P28843|DPP4_MOUSE,44
ENA|KF192507|KF192507.1,sp|P27487|DPP4_HUMAN,47
ENA|KF192507|KF192507.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600612|KF600612.1,sp|P27487|DPP4_HUMAN,47
ENA|KF600612|KF600612.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600613|KF600613.1,sp|P27487|DPP4_HUMAN,47
ENA|KF600613|KF600613.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600620|KF600620.1,sp|P27487|DPP4_HUMAN,47
ENA|KF600620|KF600620.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600627|KF600627.1,sp|P27487|DPP4_HUMAN,45
ENA|KF600627|KF600627.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600628|KF600628.1,sp|P27487|DPP4_HUMAN,45
ENA|KF600628|KF600628.1,sp|P28843|DPP4_MOUSE,47
ENA|KF600630|KF600630.1,sp|P27487|DPP4_HUMAN,45
ENA|KF600630|KF600630.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600632|KF600632.1,sp|P27487|DPP4_HUMAN,46
ENA|KF600632|KF600632.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600634|KF600634.1,sp|P27487|DPP4_HUMAN,45
ENA|KF600634|KF600634.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600644|KF600644.1,sp|P27487|DPP4_HUMAN,45
ENA|KF600644|KF600644.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600645|KF600645.1,sp|P27487|DPP4_HUMAN,45
ENA|KF600645|KF600645.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600647|KF600647.1,sp|P27487|DPP4_HUMAN,46
ENA|KF600647|KF600647.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600651|KF600651.1,sp|P27487|DPP4_HUMAN,45
ENA|KF600651|KF600651.1,sp|P28843|DPP4_MOUSE,44
ENA|KF600652|KF600652.1,sp|P27487|DPP4_HUMAN,45
ENA|KF600652|KF600652.1,sp|P28843|DPP4_MOUSE,44
ENA|KF745068|KF745068.1,sp|P27487|DPP4_HUMAN,45
ENA|KF745068|KF745068.1,sp|P28843|DPP4_MOUSE,44
ENA|KF958702|KF958702.1,sp|P27487|DPP4_HUMAN,47
ENA|KF958702|KF958702.1,sp|P28843|DPP4_MOUSE,44
ENA|KF961222|KF961222.1,sp|P27487|DPP4_HUMAN,45
ENA|KF961222|KF961222.1,sp|P28843|DPP4_MOUSE,47
ENA|KJ156866|KJ156866.1,sp|P27487|DPP4_HUMAN,45
ENA|KJ156866|KJ156866.1,sp|P28843|DPP4_MOUSE,44
ENA|KJ156869|KJ156869.1,sp|P27487|DPP4_HUMAN,45
ENA|KJ156869|KJ156869.1,sp|P28843|DPP4_MOUSE,44
ENA|KJ156874|KJ156874.1,sp|P27487|DPP4_HUMAN,45
ENA|KJ156874|KJ156874.1,sp|P28843|DPP4_MOUSE,44
