gene,ORF,local
ENA|AP006557|AP006557.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
ENA|AP006557|AP006557.1,tr|V9TU12|V9TU12_9BETC,67
ENA|AP006558|AP006558.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,76
ENA|AP006558|AP006558.1,tr|V9TU12|V9TU12_9BETC,67
ENA|AP006559|AP006559.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
ENA|AP006559|AP006559.1,tr|V9TU12|V9TU12_9BETC,67
ENA|AP006560|AP006560.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
ENA|AP006560|AP006560.1,tr|V9TU12|V9TU12_9BETC,67
ENA|AP006561|AP006561.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
ENA|AP006561|AP006561.1,tr|V9TU12|V9TU12_9BETC,67
ENA|AY278487|AY278487.3,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
ENA|AY278487|AY278487.3,tr|V9TU12|V9TU12_9BETC,67
ENA|AY278488|AY278488.2,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
ENA|AY278488|AY278488.2,tr|V9TU12|V9TU12_9BETC,67
ENA|AY278489|AY278489.2,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,88
ENA|AY278489|AY278489.2,tr|V9TU12|V9TU12_9BETC,72
ENA|AY278490|AY278490.3,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
ENA|AY278490|AY278490.3,tr|V9TU12|V9TU12_9BETC,67
ENA|AY278741|AY278741.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
ENA|AY278741|AY278741.1,tr|V9TU12|V9TU12_9BETC,67
ENA|AY279354|AY279354.2,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,88
ENA|AY279354|AY279354.2,tr|V9TU12|V9TU12_9BETC,78
ENA|AY283794|AY283794.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,88
ENA|AY283794|AY283794.1,tr|V9TU12|V9TU12_9BETC,78
ENA|AY283795|AY283795.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,88
ENA|AY283795|AY283795.1,tr|V9TU12|V9TU12_9BETC,78
ENA|AY283796|AY283796.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,88
ENA|AY283796|AY283796.1,tr|V9TU12|V9TU12_9BETC,78
ENA|AY283797|AY283797.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,88
ENA|AY283797|AY283797.1,tr|V9TU12|V9TU12_9BETC,77
ENA|AY283798|AY283798.2,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,88
ENA|AY283798|AY283798.2,tr|V9TU12|V9TU12_9BETC,78
ENA|AY286320|AY286320.4,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,88
ENA|AY286320|AY286320.4,tr|V9TU12|V9TU12_9BETC,77
ENA|AY291315|AY291315.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,70
ENA|AY291315|AY291315.1,tr|V9TU12|V9TU12_9BETC,67
ENA|AY291451|AY291451.1,tr|A0A0A0QGJ0|A0A0A0QGJ0_9BETC,74
